index,zone,year,month,day,hour,load
185,201,2023,1,9,5,0
186,201,2023,1,9,6,0
187,201,2023,1,9,7,1
188,201,2023,1,9,8,5
189,201,2023,1,9,9,15
190,201,2023,1,9,10,23
191,201,2023,1,9,11,31
192,201,2023,1,9,12,32
193,201,2023,1,9,13,29
194,201,2023,1,9,14,31
195,201,2023,1,9,15,35
196,201,2023,1,9,16,28
197,201,2023,1,9,17,27
198,201,2023,1,9,18,23
199,201,2023,1,9,19,13
200,201,2023,1,9,20,6
201,201,2023,1,9,21,3
202,201,2023,1,9,22,4
203,201,2023,1,9,23,4
204,201,2023,1,10,0,2
205,201,2023,1,10,1,0
206,201,2023,1,10,2,0
207,201,2023,1,10,3,0
208,201,2023,1,10,4,0
209,201,2023,1,10,5,0
210,201,2023,1,10,6,1
211,201,2023,1,10,7,3
212,201,2023,1,10,8,12
213,201,2023,1,10,9,16
214,201,2023,1,10,10,22
215,201,2023,1,10,11,29
216,201,2023,1,10,12,29
217,201,2023,1,10,13,27
218,201,2023,1,10,14,31
219,201,2023,1,10,15,34
220,201,2023,1,10,16,30
221,201,2023,1,10,17,24
222,201,2023,1,10,18,18
223,201,2023,1,10,19,11
224,201,2023,1,10,20,10
225,201,2023,1,10,21,8
226,201,2023,1,10,22,2
227,201,2023,1,10,23,1
228,201,2023,1,11,0,2
229,201,2023,1,11,1,1
230,201,2023,1,11,2,1
231,201,2023,1,11,3,0
232,201,2023,1,11,4,0
233,201,2023,1,11,5,0
234,201,2023,1,11,6,1
235,201,2023,1,11,7,3
236,201,2023,1,11,8,12
237,201,2023,1,11,9,30
238,201,2023,1,11,10,37
239,201,2023,1,11,11,39
240,201,2023,1,11,12,36
241,201,2023,1,11,13,43
242,201,2023,1,11,14,39
243,201,2023,1,11,15,34
244,201,2023,1,11,16,30
245,201,2023,1,11,17,29
246,201,2023,1,11,18,21
247,201,2023,1,11,19,15
248,201,2023,1,11,20,13
249,201,2023,1,11,21,10
250,201,2023,1,11,22,5
251,201,2023,1,11,23,2
252,201,2023,1,12,0,0
253,201,2023,1,12,1,0
254,201,2023,1,12,2,0
255,201,2023,1,12,3,0
256,201,2023,1,12,4,0
257,201,2023,1,12,5,0
258,201,2023,1,12,6,0
259,201,2023,1,12,7,2
260,201,2023,1,12,8,6
261,201,2023,1,12,9,26
262,201,2023,1,12,10,36
263,201,2023,1,12,11,39
264,201,2023,1,12,12,34
265,201,2023,1,12,13,41
266,201,2023,1,12,14,44
267,201,2023,1,12,15,41
268,201,2023,1,12,16,34
269,201,2023,1,12,17,32
270,201,2023,1,12,18,28
271,201,2023,1,12,19,19
272,201,2023,1,12,20,14
273,201,2023,1,12,21,13
274,201,2023,1,12,22,9
275,201,2023,1,12,23,3
276,201,2023,1,13,0,0
277,201,2023,1,13,1,1
278,201,2023,1,13,2,1
279,201,2023,1,13,3,1
280,201,2023,1,13,4,1
281,201,2023,1,13,5,1
282,201,2023,1,13,6,1
283,201,2023,1,13,7,2
284,201,2023,1,13,8,6
285,201,2023,1,13,9,21
286,201,2023,1,13,10,39
287,201,2023,1,13,11,41
288,201,2023,1,13,12,37
289,201,2023,1,13,13,46
290,201,2023,1,13,14,41
291,201,2023,1,13,15,42
292,201,2023,1,13,16,39
293,201,2023,1,13,17,38
294,201,2023,1,13,18,27
295,201,2023,1,13,19,21
296,201,2023,1,13,20,19
297,201,2023,1,13,21,20
298,201,2023,1,13,22,12
299,201,2023,1,13,23,10
300,201,2023,1,14,0,6
301,201,2023,1,14,1,2
302,201,2023,1,14,2,2
303,201,2023,1,14,3,2
304,201,2023,1,14,4,1
305,201,2023,1,14,5,1
306,201,2023,1,14,6,1
307,201,2023,1,14,7,1
308,201,2023,1,14,8,3
309,201,2023,1,14,9,4
310,201,2023,1,14,10,6
311,201,2023,1,14,11,15
312,201,2023,1,14,12,22
313,201,2023,1,14,13,23
314,201,2023,1,14,14,26
315,201,2023,1,14,15,31
316,201,2023,1,14,16,46
317,201,2023,1,14,17,45
318,201,2023,1,14,18,44
319,201,2023,1,14,19,40
320,201,2023,1,14,20,37
321,201,2023,1,14,21,30
322,201,2023,1,14,22,19
